Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
NODE27,0.293086,0.0,0.943297,0.830481,0.0,33.6587,0.056703,7.30114,0.00344555,0.199842
BITIGABO3,1.31136,0.0853788,0.573017,0.0638904,0.0466385,4.35627,0.380344,7.0301,0.00400754,0.22843
NODE37,1.49135,0.0,0.862689,0.0,0.0346048,71.8527,0.102706,7.02591,0.00401692,0.224948
XENOTROP6,10.0,0.0,0.753183,0.0,0.0610346,10000.0,0.185782,6.89941,0.0043112,0.237116
ANOLCARO28,0.670238,0.407832,0.960585,0.407394,0.000120619,37.8794,0.0392944,6.57734,0.00516426,0.27887
NODE9,0.641347,0.0,0.907254,0.830335,0.0,74.3599,0.092746,6.39027,0.00573737,0.304081
MACRLEBE4,0.812369,0.0,0.324643,1.0,0.544495,34.4062,0.130862,5.85817,0.00775245,0.403127
LIOPPOEC6,1.70231,0.0,0.442029,0.0,0.0154632,3.7323,0.542508,5.49428,0.0095394,0.486509
NODE32,10.0,1.0,0.803975,1.0,0.0214118,10000.0,0.174613,5.47469,0.00964688,0.482344
NODE21,1.06438,1.0,0.923059,0.881654,0.0,172.144,0.076941,5.40553,0.0100365,0.491791
NODE8,0.730948,0.31543,0.964604,0.316306,0.000981181,10000.0,0.0344148,4.80072,0.0142239,0.682747
NODE20,1.00821,1.0,0.727419,0.0,0.223297,40.0546,0.0492843,4.0044,0.0226908,1.0
NODE14,0.875621,0.0,0.785829,0.899176,0.0,8.70221,0.214171,3.8988,0.0241603,1.0
XENOLAEV1,0.189568,0.039312,0.889456,0.818984,0.0,7.29588,0.110544,3.43811,0.0318542,1.0
AUSTSUPE3,0.732623,0.739119,0.970622,1.0,0.000596133,203.363,0.0287819,3.33475,0.0339153,1.0
ENHYPOLY5,10.0,0.0895281,0.0,0.826672,0.0,10000.0,1.0,3.22431,0.0362763,1.0
CRYPALBO1,1.78057,1.0,0.693858,1.0,0.00101345,6.29755,0.305129,3.16334,0.0376544,1.0
NODE11,1.48772,0.891278,0.922289,6.87377e-06,0.0391419,4234.33,0.0385691,2.89544,0.0444151,1.0
NODE35,0.0938291,0.0,0.866822,0.819666,0.0,895.765,0.133178,2.70244,0.0500975,1.0
XENOTROP5,0.203016,0.14229,0.828701,0.143074,0.0120253,10000.0,0.159274,2.55425,0.0549991,1.0
PHILOLFE9,2.12777,0.0,0.611083,0.0,0.0282102,8.88334,0.360707,2.49719,0.0570249,1.0
SUSSCRO1,0.390002,0.406024,0.973952,0.408652,0.00053507,1466.22,0.0255129,2.35653,0.0623796,1.0
OPHIHANN13,0.687882,0.156061,0.660831,4.34903e-06,0.0,2.69351,0.339169,2.1434,0.0715923,1.0
NODE16,2.03505,0.91932,0.0,2.0e-07,0.0,3.89232,1.0,2.13901,0.0717971,1.0
THAMELEG15,1.05709,0.0,0.365242,0.7961,0.0,1.90385,0.634758,1.98143,0.0796202,1.0
OPHIHANN53,1.4332,0.0,0.652835,0.0,0.0,5.91234,0.347165,1.89703,0.0842056,1.0
VARAINDI3,0.547436,0.0167647,0.529603,0.0180191,0.00110515,2.60025,0.469292,1.82912,0.0881155,1.0
TRIMFLAV4,1.36519,0.0,0.545607,5.0e-09,0.0142908,4.40842,0.440102,1.59866,0.103047,1.0
NODE3,1.82858e-05,0.0,0.913043,0.896572,0.0,16.4849,0.086957,1.48121,0.111792,1.0
NODE30,10.0,0.0905542,0.0,0.891956,0.0,10000.0,1.0,1.25123,0.131659,1.0
NODE13,10.0,0.900878,0.0,0.907448,0.0,10000.0,1.0,1.2318,0.133528,1.0
NODE7,10.0,0.0,0.923669,2.0e-07,0.021848,10000.0,0.054483,1.1951,0.137151,1.0
NODE22,0.547937,0.117008,0.984457,0.0989175,0.00248195,103.798,0.013061,1.10762,0.1463,1.0
RATTNORV4,0.323553,0.320063,0.974324,0.823599,0.0,816.966,0.025676,1.0952,0.147661,1.0
NODE12,10.0,8.18034e-07,0.0,8.18034e-07,0.0,10000.0,1.0,0.553938,0.228357,1.0
NODE28,10.0,0.999996,0.0109794,1.0,0.619085,9998.89,0.369935,0.425658,0.257064,1.0
OPHIHANN41,0.366823,0.0,0.766465,0.830163,0.0,1.86648,0.233535,0.350741,0.276847,1.0
NODE5,0.367223,0.191444,0.892045,0.792286,0.061455,73.6826,0.0465,0.274461,0.300177,1.0
NODE4,0.142852,0.0,0.660096,0.399513,0.281622,4.6879,0.058282,0.271946,0.301015,1.0
ANOLCARO27,0.43616,0.0,0.612947,0.883244,0.0,1.45186,0.387053,0.252622,0.307617,1.0
NODE19,0.256338,0.0,0.75501,0.0,5.0916e-05,1.4779,0.244939,0.185633,0.333288,1.0
OPHIHANN52,0.987505,0.932013,0.0,0.0,0.224549,1.42285,0.775451,0.168416,0.340762,1.0
NODE6,0.354932,0.0,0.88655,5.0e-09,0.00211028,2.52326,0.11134,0.0719252,0.394277,1.0
NODE38,10.0,5.81966e-07,0.168885,1.075e-06,0.218523,10000.0,0.612592,0.00929039,0.461607,1.0
HOMOSAPI21,0.474804,0.33487,0.791644,1.0,0.13859,1.24303,0.0697661,-0.00191021,0.5,1.0
NODE2,7.15965e-05,1.46977e-05,0.684856,0.825793,6.30288e-08,3.48311,0.315144,-0.000174607,0.5,1.0
SPIRLANC1,0.0385774,5.81966e-07,0.504034,0.132306,0.495966,1.87777,0.0,0.0,1.0,1.0
DANIRERI9,0.022073,0.0,0.522235,0.105069,0.477765,1.65961,0.0,0.0,1.0,1.0
OPHIHANN50,0.281611,0.248211,0.0,0.489944,1.0,1.36972,0.0,0.0,1.0,1.0
NODE24,1.00204,0.160151,0.706273,0.00953193,1.70939e-07,0.0471367,0.293727,0.0,1.0,1.0
OPHIHANN33,0.509708,0.414373,0.698806,1.0,0.301194,1.29021,0.0,0.0,1.0,1.0
NODE26,0.602874,0.608826,1.0,0.507376,0.0,0.810345,0.0,0.0,1.0,1.0
ENHYPOLY4,10.0,0.0882318,0.00935221,0.835508,0.00925745,0.0113802,0.98139,0.0,1.0,1.0
NODE23,0.0439084,0.0578649,1.0,0.0502661,0.0,7.07925,0.0,0.0,1.0,1.0
OPHIHANN24,0.544659,0.78355,1.0,0.650526,0.0,1.31991,0.0,0.0,1.0,1.0
NODE33,0.247963,0.0,0.682164,0.596993,0.317836,0.999955,0.0,0.0,1.0,1.0
NODE36,0.27188,0.0,0.314769,0.601946,0.685231,9.14932,0.0,0.0,1.0,1.0
NODE34,0.0437766,0.0,0.635502,0.529716,0.364498,1.39049,0.0,0.0,1.0,1.0
