Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
CERACERA2,10.0,0.0944256,0.00973773,0.892064,0.00931217,8.13323,0.98095,-0.000112356,0.5,1.0
NODE27,10.0,0.0876823,0.00936594,0.821316,0.00931305,4.43628,0.981321,-0.000110156,0.5,1.0
NODE5,6.02321e-06,0.000174527,0.970425,0.876555,0.0135537,1.48016,0.0160213,-0.000110156,0.5,1.0
NODE4,2.08738e-05,1.80226e-05,0.991347,0.975514,0.00396692,2.1644,0.00468608,-0.000103956,0.5,1.0
ANOLCARO11,8.10195e-05,4.54149e-05,0.777241,0.886136,0.000129485,7.2827,0.22263,-0.000109556,0.5,1.0
NODE32,4.14451e-05,2.97792e-05,0.905962,0.999465,0.0401798,3.79552,0.0538582,-0.000174556,0.5,1.0
NODE3,1.34325e-05,7.68961e-06,0.955316,0.999135,0.0197345,7.07796,0.0249495,-0.000173756,0.5,1.0
MONODOME1,0.140147,0.0,0.760841,0.747939,0.239159,0.980687,0.0,0.0,1.0,1.0
RATTNORV3,0.245899,0.0,0.369671,0.434172,0.630329,1.02085,0.0,0.0,1.0,1.0
ORYCCUNI2,0.103297,0.107128,1.0,0.796183,0.0,1.31637,0.0,0.0,1.0,1.0
EQUUCABA1,0.106481,0.111189,1.0,0.19631,0.0,1.34033,0.0,0.0,1.0,1.0
NODE10,0.0,0.0,1.0,0.83299,0.0,1.37508,0.0,0.0,1.0,1.0
PONGABEL2,0.145999,0.153327,1.0,0.297008,0.0,1.38711,0.0,0.0,1.0,1.0
PANTROG1,0.136029,0.142781,1.0,0.818115,0.0,1.40009,0.0,0.0,1.0,1.0
NODE13,0.0,0.0,1.0,0.81589,0.0,1.52491,0.0,0.0,1.0,1.0
NODE7,0.108968,0.0,0.813116,0.654593,0.186884,0.977374,0.0,0.0,1.0,1.0
OPHIHANN56,0.152584,0.0,0.653464,0.517469,0.346536,0.942956,0.0,0.0,1.0,1.0
ANOLCARO22,0.0826031,0.0,0.789012,0.0,0.0339108,0.587905,0.177077,0.0,1.0,1.0
LIOPPOEC7,0.386253,0.422249,1.0,0.699742,0.0,1.29716,0.0,0.0,1.0,1.0
NODE20,0.171269,0.203357,0.0,0.238738,0.0,0.266099,1.0,0.0,1.0,1.0
CROTADAM3,0.438281,0.603827,1.0,0.400796,0.0,0.461798,0.0,0.0,1.0,1.0
ECHIPYRA1,0.321258,0.341147,1.0,0.322828,0.0,1.25255,0.0,0.0,1.0,1.0
ECHICARI1,0.0,0.0,1.0,0.82906,0.0,1.38445,0.0,0.0,1.0,1.0
NODE26,0.268305,0.28592,1.0,0.15595,0.0,1.29881,0.0,0.0,1.0,1.0
NODE25,0.568378,0.626575,1.0,0.515789,0.0,0.912674,0.0,0.0,1.0,1.0
HELOCINC3,0.136812,0.153732,1.0,0.648715,0.0,1.25653,0.0,0.0,1.0,1.0
NODE15,0.0109294,0.0,0.890318,0.222757,0.109682,5.47655,0.0,0.0,1.0,1.0
THAMELEG17,0.108555,0.0,0.68076,0.381313,0.31924,1.02216,0.0,0.0,1.0,1.0
NODE31,1.70581e-05,0.0,0.873259,0.136209,0.126741,1.35591,0.0,0.0,1.0,1.0
THAMELEG22,0.352686,0.304902,1.0,0.795255,0.0,2.67139,0.0,0.0,1.0,1.0
PYTHMOLU2,0.125489,0.163599,1.0,0.163146,0.0,1.22056,0.0,0.0,1.0,1.0
